,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
455,Richards Bay,ZA,-28.783,32.0377,62.51,87,0,5.53,clear sky
456,San Fernando,PH,15.0286,120.6898,81.14,94,100,1.52,light rain
457,Krasnoselkup,RU,65.7,82.4667,45.39,98,100,14.25,light rain
458,Labuhan,ID,-6.8844,112.2051,75.88,84,86,7.92,overcast clouds
459,Omagh,GB,54.6,-7.3,59.02,98,91,2.77,overcast clouds
460,Mikuni,JP,36.2171,136.1519,67.91,84,92,3.33,overcast clouds
461,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,82,100,7.0,overcast clouds
462,Lorengau,PG,-2.0226,147.2712,81.73,79,97,14.58,overcast clouds
463,Vao,NC,-22.6667,167.4833,67.32,65,100,15.05,overcast clouds
464,Russell,US,32.3502,-85.1999,83.43,47,1,9.22,clear sky
465,Skjervoy,NO,70.0311,20.9714,47.14,82,100,28.03,overcast clouds
466,Darnah,LY,32.767,22.6367,75.58,65,0,12.35,clear sky
467,Kenai,US,60.5544,-151.2583,57.29,79,75,17.27,broken clouds
468,Port Pirie,AU,-33.1833,138.0167,59.09,27,0,12.37,clear sky
469,Payo,ID,-3.7508,103.6372,71.65,94,95,1.83,overcast clouds
470,Georgiyevka,KZ,43.0369,74.7114,59.04,51,20,8.95,few clouds
471,Luderitz,NA,-26.6481,15.1594,56.39,77,17,4.18,few clouds
472,Grass Valley,US,39.2191,-121.0611,97.72,23,1,1.99,clear sky
473,Awjilah,LY,29.1081,21.2869,76.24,49,0,8.14,clear sky
474,Constitucion,CL,-35.3333,-72.4167,57.13,77,2,11.81,clear sky
475,Besikduzu,TR,41.052,39.2284,71.49,83,27,3.2,scattered clouds
476,Calabozo,VE,8.9242,-67.4293,81.18,76,100,5.12,overcast clouds
477,Savalou,BJ,7.9281,1.9756,74.25,93,54,4.65,broken clouds
478,Pedernales,DO,18.0384,-71.744,86.29,67,19,7.38,few clouds
479,Isiro,CD,2.7739,27.616,65.86,100,100,2.59,light rain
480,Khon Kaen,TH,16.5,102.0833,73.65,97,100,5.17,light rain
481,Dakar,SN,14.6937,-17.4441,84.33,84,40,2.3,scattered clouds
482,Mahajanga,MG,-15.7167,46.3167,73.42,78,0,3.44,clear sky
483,Korla,CN,41.7597,86.1469,76.86,20,0,5.84,clear sky
484,Nemuro,JP,43.3236,145.575,61.92,95,74,13.87,broken clouds
485,Meridian,US,43.6121,-116.3915,96.78,22,1,5.75,haze
486,Tautira,PF,-17.7333,-149.15,80.62,73,89,12.33,overcast clouds
487,Bobo Dioulasso,BF,11.1771,-4.2979,75.65,88,0,4.61,clear sky
488,Gori,GE,41.9842,44.1158,60.96,75,93,11.27,overcast clouds
489,Lata,PT,40.1629,-8.3327,67.08,96,100,2.08,overcast clouds
490,Vilyuysk,RU,63.7553,121.6247,45.07,70,20,4.92,few clouds
491,Gizo,SB,-8.103,156.8419,82.35,71,59,9.84,broken clouds
492,Barinas,VE,8.6226,-70.2075,81.75,76,69,4.0,broken clouds
493,Huarmey,PE,-10.0681,-78.1522,66.36,78,23,10.6,few clouds
494,Ukiah,US,39.1502,-123.2078,101.03,22,1,9.22,clear sky
495,Broken Hill,AU,-31.95,141.4333,51.51,32,0,6.91,clear sky
496,Jabinyanah,TN,35.035,10.9081,85.8,73,73,7.49,broken clouds
497,Macau,MO,22.2006,113.5461,85.06,84,20,11.5,few clouds
498,La Rioja,ES,42.25,-2.5,62.49,71,82,6.24,broken clouds
499,Aswan,EG,24.0934,32.907,92.5,24,0,10.36,clear sky
500,Hay River,CA,60.8156,-115.7999,55.38,94,90,8.05,moderate rain
501,Yarensk,RU,62.1675,49.0916,39.04,89,16,8.28,few clouds
502,Suntar,RU,62.1444,117.6319,46.98,95,7,4.45,clear sky
503,Villiers,ZA,-27.0303,28.6006,54.7,61,0,8.3,clear sky
504,Pala,TD,9.3642,14.9046,73.63,91,96,1.59,light rain
505,Hualmay,PE,-11.0964,-77.6139,64.58,79,30,11.41,scattered clouds
506,Karpathos,GR,35.507,27.2132,73.36,73,42,16.11,scattered clouds
507,Den Helder,NL,52.9599,4.7593,66.18,88,90,4.61,overcast clouds
508,Yurla,RU,59.3259,54.3223,43.14,93,86,11.68,overcast clouds
509,Kedrovyy,RU,56.1667,91.8167,45.01,65,13,9.17,few clouds
510,Grindavik,IS,63.8424,-22.4338,51.75,81,75,12.66,broken clouds
511,Port Hedland,AU,-20.3167,118.5667,60.85,55,28,4.61,scattered clouds
512,Chabahar,IR,25.2919,60.643,80.42,89,76,6.62,broken clouds
513,Lac Du Bonnet,CA,50.2536,-96.0612,71.73,42,96,2.48,overcast clouds
514,Mareeba,AU,-17.0,145.4333,68.43,80,84,8.5,broken clouds
515,Wum,CM,6.3833,10.0667,65.5,96,97,2.59,light rain
516,Storforshei,NO,66.4043,14.5233,44.65,86,19,1.79,few clouds
517,Beidao,CN,34.5686,105.8933,61.38,92,0,4.09,clear sky
518,Ipanema,BR,-30.1391,-51.2244,64.27,65,40,19.57,scattered clouds
519,Srivardhan,IN,18.0333,73.0167,78.98,89,100,11.92,overcast clouds
520,Honningsvag,NO,70.9821,25.9704,44.62,72,90,17.87,overcast clouds
521,Tver,RU,56.8619,35.8931,55.92,89,27,7.99,scattered clouds
522,Ust-Nera,RU,64.5667,143.2,36.61,44,11,1.7,few clouds
523,Isla Mujeres,MX,21.2311,-86.731,84.13,73,82,10.27,broken clouds
524,Phuket,TH,8.0,98.25,80.82,83,40,14.97,scattered clouds
525,Heihe,CN,50.2441,127.4902,55.98,97,100,4.52,moderate rain
526,Ortigueira,BR,-24.2083,-50.9494,67.1,57,100,4.45,overcast clouds
527,Kargasok,RU,59.0556,80.8572,41.04,94,100,13.35,overcast clouds
528,Bandarbeyla,SO,9.4942,50.8122,78.22,81,91,28.7,overcast clouds
529,Mazatlan,MX,23.2167,-106.4167,85.91,80,100,7.0,overcast clouds
530,Kirakira,SB,-10.4544,161.9205,81.3,77,92,13.82,overcast clouds
531,Poronaysk,RU,49.2167,143.1167,59.32,87,67,4.25,broken clouds
532,Brus,RS,43.3836,21.0336,61.72,70,71,3.29,broken clouds
533,Xique-Xique,BR,-10.8218,-42.7263,81.93,41,38,5.86,scattered clouds
534,Grand Gaube,MU,-20.0064,57.6608,68.4,80,12,3.0,few clouds
535,Gushikawa,JP,26.3544,127.8686,83.43,91,20,10.36,few clouds
536,Saulkrasti,LV,57.2622,24.4147,57.79,90,11,6.58,few clouds
537,Alofi,NU,-19.0595,-169.9187,76.89,88,75,12.66,broken clouds
538,Conde,BR,-7.2597,-34.9075,76.46,83,20,9.22,few clouds
539,Elizabeth City,US,36.2946,-76.2511,73.42,93,90,14.97,overcast clouds
540,Valparaiso,CL,-33.0393,-71.6273,66.43,51,0,6.91,clear sky
541,Giddalur,IN,15.35,78.9167,76.69,79,89,12.26,overcast clouds
542,Caravelas,BR,-17.7125,-39.2481,74.5,84,0,9.75,clear sky
543,Karratha,AU,-20.7377,116.8463,70.65,29,3,7.58,clear sky
544,Marawi,PH,7.9986,124.2928,66.65,92,87,4.88,overcast clouds
545,Suluq,LY,31.6682,20.2521,74.37,58,0,7.02,clear sky
546,Grand-Santi,GF,4.25,-54.3833,78.67,76,98,2.93,overcast clouds
547,Guerrero,MX,17.6667,-100.0,74.53,85,100,1.77,overcast clouds
548,Naze,JP,28.3667,129.4833,76.12,81,7,4.07,clear sky
549,Srednekolymsk,RU,67.45,153.6833,34.3,86,100,11.34,overcast clouds
550,Egvekinot,RU,66.3167,-179.1667,31.71,93,100,18.66,snow
551,Oistins,BB,13.0667,-59.5333,86.09,66,20,16.11,few clouds
552,Sur,OM,22.5667,59.5289,85.91,65,89,7.63,overcast clouds
553,Pisco,PE,-13.7,-76.2167,66.25,68,0,8.05,clear sky
554,Athabasca,CA,54.7169,-113.2854,68.83,50,60,13.27,broken clouds
555,Coruripe,BR,-10.1256,-36.1756,73.92,84,31,7.85,scattered clouds
556,Emba,KZ,48.8264,58.1442,55.56,30,15,14.0,few clouds
557,Porbandar,IN,21.6422,69.6093,79.59,88,99,11.95,overcast clouds
558,Tianpeng,CN,30.9866,103.9393,70.27,80,80,2.93,broken clouds
559,Aquiraz,BR,-3.9014,-38.3911,80.69,81,26,10.49,scattered clouds
560,Ust-Ishim,RU,57.6935,71.1665,46.62,86,99,7.11,overcast clouds
561,San Policarpo,PH,12.1791,125.5072,79.07,87,99,8.95,overcast clouds
562,Mayya,RU,61.7333,130.2811,27.72,55,27,3.13,scattered clouds
563,Sudak,UA,44.85,34.9667,63.27,68,17,10.6,few clouds
564,Colac,AU,-38.3333,143.5833,46.62,86,100,1.3,overcast clouds
565,Nicolas Bravo,MX,18.45,-88.9167,81.48,56,53,6.82,broken clouds
566,Marystown,CA,47.1666,-55.1483,61.38,85,52,8.14,broken clouds
567,Talnakh,RU,69.4865,88.3972,49.37,95,100,10.54,light rain
568,Union Hidalgo,MX,16.4723,-94.8295,87.82,62,62,17.13,broken clouds
569,Izumiotsu,JP,34.5,135.4,73.38,83,20,6.91,few clouds
570,Rosarito,MX,32.3333,-117.0333,96.93,70,58,7.11,broken clouds
571,Antalaha,MG,-14.9003,50.2788,66.88,86,7,7.0,clear sky
572,Tura,IN,25.5198,90.2201,74.21,94,67,3.47,broken clouds
573,Conakry,GN,9.538,-13.6773,74.39,94,100,25.28,very heavy rain
574,Andros Town,BS,24.7,-77.7667,85.96,65,74,1.5,broken clouds
575,Waipawa,NZ,-41.4122,175.5153,57.83,70,99,21.74,overcast clouds
576,Salekhard,RU,66.53,66.6019,37.24,79,60,6.51,broken clouds
577,Rialma,BR,-15.315,-49.5844,88.72,20,16,2.77,few clouds
578,Tunceli,TR,39.1083,39.5471,70.09,30,0,5.84,clear sky
579,Vicksburg,US,32.3526,-90.8779,87.48,34,1,10.36,clear sky
580,Lufilufi,WS,-13.8745,-171.5986,83.98,77,16,16.49,few clouds
581,Fairview,US,40.8126,-73.999,72.16,85,100,1.01,overcast clouds
582,Antsohihy,MG,-14.8796,47.9875,68.79,84,0,0.74,clear sky
583,Kaihua,CN,23.3687,104.28,61.92,94,7,0.96,clear sky
584,Omboue,GA,-1.5746,9.2618,75.78,85,34,8.75,scattered clouds
585,Emerald,AU,-23.5333,148.1667,57.34,82,1,4.61,clear sky
586,Nyurba,RU,63.2842,118.3319,46.87,92,9,4.34,clear sky
587,Road Town,VG,18.4167,-64.6167,86.2,70,20,5.75,few clouds
588,Lundazi,ZM,-12.2929,33.1782,65.88,58,16,6.85,few clouds
589,Marevo,RU,57.3146,32.0804,58.51,82,99,6.73,overcast clouds
590,Ambikapur,IN,23.1167,83.2,72.03,92,47,1.66,scattered clouds
591,Opuwo,NA,-18.0607,13.84,69.73,21,0,7.45,clear sky
592,Yangjiang,CN,21.85,111.9667,77.95,85,95,4.76,overcast clouds
593,Kushiro,JP,42.975,144.3747,63.03,91,1,2.91,clear sky
594,Linxia,CN,35.6003,103.2064,55.71,54,0,5.19,clear sky
595,Kungurtug,RU,50.5994,97.5228,47.25,96,77,2.89,broken clouds
596,Barra Patuca,HN,15.8,-84.2833,81.45,84,100,7.74,overcast clouds
597,Cap-Aux-Meules,CA,47.3821,-61.8597,64.45,94,90,13.8,mist
598,Guadalupe Y Calvo,MX,26.1,-106.9667,69.24,48,98,10.54,overcast clouds
599,Tigil,RU,57.8,158.6667,42.33,62,76,11.79,light rain
600,Kurilsk,RU,45.2333,147.8833,58.73,90,62,5.59,broken clouds
601,Vestmannaeyjar,IS,63.4427,-20.2734,51.48,76,76,3.83,broken clouds
602,Viedma,AR,-40.8135,-62.9967,53.74,72,65,13.65,broken clouds
603,Luganville,VU,-15.5333,167.1667,76.05,79,99,14.07,overcast clouds
604,Mishan,CN,45.55,131.8833,60.6,93,94,2.71,overcast clouds
605,Cartagena,CO,10.3997,-75.5144,82.02,94,40,3.44,scattered clouds
606,Bulgan,MN,48.8125,103.5347,45.82,84,62,0.98,broken clouds
607,Mahibadhoo,MV,3.7833,72.9667,81.97,73,71,4.81,broken clouds
608,Santa Lucia,ES,27.9117,-15.5407,69.76,80,20,26.46,few clouds
609,Bayir,TR,37.2687,28.2167,63.12,92,0,3.51,clear sky
610,Port Macquarie,AU,-31.4333,152.9167,51.76,43,25,5.17,scattered clouds
611,Coos Bay,US,43.3665,-124.2179,86.85,69,1,11.5,clear sky
612,Oranjemund,NA,-28.55,16.4333,59.05,69,65,5.75,broken clouds
613,Namtsy,RU,62.7161,129.6658,28.51,53,97,1.79,overcast clouds
614,Saint-Joseph,RE,-21.3667,55.6167,67.21,81,23,4.88,few clouds
615,Kieta,PG,-6.2167,155.6333,80.98,82,100,7.07,light rain
616,Rochelle,FR,46.25,-1.0,68.09,88,90,5.75,overcast clouds
617,Manaia,NZ,-39.55,174.1333,61.81,76,82,22.53,broken clouds
618,Ulkan,RU,57.243,107.3223,39.29,87,2,2.89,clear sky
619,Mehamn,NO,71.0357,27.8492,42.51,80,98,14.07,overcast clouds
620,Rawson,AR,-43.3002,-65.1023,54.9,65,100,18.63,overcast clouds
621,Lere,NG,10.387,8.5726,69.24,96,86,3.47,moderate rain
622,Maltahohe,NA,-24.8333,16.9833,65.71,12,25,11.27,scattered clouds
623,Saint-Junien,FR,45.8833,0.9,63.84,98,100,2.33,overcast clouds
624,Dubbo,AU,-32.25,148.6167,46.53,93,4,4.61,clear sky
625,Kyra,RU,49.5776,111.9753,37.54,94,85,2.98,overcast clouds
626,Ko Samui,TH,9.5357,99.9357,81.0,77,100,18.19,overcast clouds
627,Lucea,JM,18.451,-78.1736,82.26,76,38,8.16,moderate rain
628,Ales,FR,44.1333,4.0833,69.84,65,100,2.8,overcast clouds
629,Chicama,PE,-7.8447,-79.1469,63.14,72,74,8.43,broken clouds
630,Karaton,ID,-6.3424,106.1045,73.56,90,43,1.57,scattered clouds
631,Westport,US,41.1415,-73.3579,71.74,94,90,4.0,light rain
632,Bikaner,IN,28.0167,73.3,88.16,57,86,11.36,overcast clouds
633,Ossora,RU,59.2353,163.0719,43.18,46,30,17.54,scattered clouds
634,Morondava,MG,-20.2833,44.2833,72.64,67,0,16.15,clear sky
635,Mirnyy,RU,62.5353,113.9611,45.18,92,10,4.16,clear sky
636,Bara,NG,10.3744,10.7288,74.97,89,96,1.39,overcast clouds
637,Rodrigues Alves,BR,-7.738,-72.6509,91.6,76,77,4.85,broken clouds
638,Itanhandu,BR,-22.2958,-44.9347,69.1,33,95,0.6,overcast clouds
639,Hovd,MN,48.0056,91.6419,57.04,47,66,4.52,broken clouds
640,Cooma,AU,-36.2333,149.1333,51.57,57,61,6.91,broken clouds
641,Nome,US,64.5011,-165.4064,54.16,82,90,14.97,light rain
642,San Rafael Del Sur,NI,11.8485,-86.4384,88.77,81,99,7.63,overcast clouds
643,Ust-Shonosha,RU,61.1531,41.343,42.96,97,98,4.99,overcast clouds
644,Marienburg,PL,54.0359,19.0266,63.95,63,11,8.23,few clouds
645,Snasa,NO,64.2457,12.3778,43.43,94,47,0.54,scattered clouds
646,Rypefjord,NO,70.6333,23.6667,43.27,93,75,4.61,broken clouds
647,Namwala,ZM,-15.7504,26.4384,70.0,41,1,4.88,clear sky
648,San Rafael,AR,-34.6177,-68.3301,62.02,32,11,10.83,few clouds
649,Faya,SA,18.3851,42.4509,71.71,25,32,4.14,scattered clouds
650,Shangrao,CN,28.4532,117.9686,74.46,94,3,1.7,clear sky
651,Lawton,US,34.6087,-98.3903,93.67,23,1,11.5,clear sky
652,Coquimbo,CL,-29.9533,-71.3436,60.53,67,0,12.66,clear sky
653,Kotelnich,RU,58.3089,48.348,44.01,93,52,7.56,broken clouds
654,Luanda,AO,-8.8368,13.2343,73.4,88,20,6.91,few clouds
655,Vung Tau,VN,10.346,107.0843,78.64,88,99,10.85,overcast clouds
656,Mackenzie,CA,55.2999,-123.1698,61.02,63,75,14.97,broken clouds
657,Tutoia,BR,-2.7619,-42.2744,79.07,83,3,14.58,clear sky
658,Monte Azul,BR,-15.155,-42.8747,78.75,29,2,6.29,clear sky
659,Sena Madureira,BR,-9.0656,-68.6569,81.01,63,85,4.65,overcast clouds
660,Quatre Cocos,MU,-20.2078,57.7625,68.11,80,5,7.65,clear sky
661,Trinidad,BO,-14.8333,-64.9,85.15,35,24,6.6,few clouds
662,Zyryanka,RU,65.75,150.85,32.4,81,94,3.38,overcast clouds
663,Launceston,AU,-41.45,147.1667,47.8,77,9,3.0,clear sky
664,Qandala,SO,11.472,49.8728,90.27,55,99,5.95,overcast clouds
665,Chisindia,RO,46.2833,22.1,57.99,56,0,3.8,clear sky
666,Plettenberg Bay,ZA,-34.0527,23.3716,62.71,49,44,7.54,scattered clouds
667,Charters Towers,AU,-20.1,146.2667,64.71,64,10,12.73,clear sky
668,Nabire,ID,-3.3667,135.4833,76.77,89,91,2.64,overcast clouds
669,Nantucket,US,41.2835,-70.0995,71.96,89,100,2.35,light rain
670,Lisala,CD,2.15,21.5167,70.43,97,100,2.13,light rain
671,Akdepe,TM,42.0551,59.3788,59.09,40,29,8.68,scattered clouds
672,Guarizama,HN,14.9167,-86.3333,93.42,90,100,2.26,overcast clouds
673,Kinsale,IE,51.7075,-8.5306,60.17,100,75,10.36,broken clouds
674,Mahanje,TZ,-9.9333,35.3333,63.28,70,77,2.46,broken clouds
675,Iberia,US,29.9502,-91.7507,89.67,37,1,11.5,clear sky
676,Gopalganj,IN,26.4667,84.4333,78.73,86,99,7.87,overcast clouds
677,Verkhoyansk,RU,67.5447,133.385,38.43,57,51,2.73,broken clouds
678,Koulikoro,ML,14.0,-7.75,73.85,85,100,9.19,overcast clouds
679,Ixtapa,MX,20.7,-105.2,86.23,76,100,1.01,overcast clouds
680,Yanji,CN,42.9075,129.5078,60.8,95,78,1.28,broken clouds
681,Morropon,PE,-5.1822,-79.9689,89.01,39,21,14.18,few clouds
682,Cavalcante,BR,-13.7975,-47.4583,81.57,21,2,2.57,clear sky
683,Tocopilla,CL,-22.092,-70.1979,63.5,65,18,4.68,few clouds
684,Nauta,PE,-4.5061,-73.5757,82.85,71,54,2.21,broken clouds
